id,comment,label
1,Good effort but needs improvement.!!,Constructive Criticism
2,DM for promotions. haha,Spam
3,Awful content. lol,Hate
4,Visuals are nice but transitions feel off. please,Constructive Criticism
5,Click here for prizes! tbh,Spam
6,Keep going! 😭,Support
7,Stay strong! thanks,Support
8,What tool did you use? dude,Question/Suggestion
9,This gave me chills. 😂,Emotional
10,This touched my heart. 😭,Emotional
11,This sucks. bro,Hate
12,Keep going! haha,Support
13,Awful content. 😭,Hate
14,Loved this! now,Praise
15,This is terrible. asap,Hate
16,This is terrible.,Hate
17,I will report this. dude,Threat
18,I’ll take action. now,Threat
19,I felt nostalgic watching this. tbh,Emotional
20,I’ll get your page banned. 😂,Threat
21,You can do it! now,Support
22,Follow me for followers! thanks,Spam
23,Good effort but needs improvement. asap,Constructive Criticism
24,Can you make more like this?.,Question/Suggestion
25,Can you make more like this? 😭,Question/Suggestion
26,Keep going!!!,Support
27,This touched my heart. dude,Emotional
28,I can relate to this.!!,Emotional
29,I’ll take action. 😭,Threat
30,Worst thing ever. friend,Hate
31,This sucks. bro,Hate
32,This sucks. 😂,Hate
33,Check my page for giveaways! 😭,Spam
34,Good effort but needs improvement. bro,Constructive Criticism
35,This made me emotional. asap,Emotional
36,Check my page for giveaways! now,Spam
37,I’ll get your page banned. haha,Threat
38,DM for promotions. ❤️,Spam
39,Can you try a darker theme?,Question/Suggestion
40,Will there be a part 2? 😭,Question/Suggestion
41,Keep going!,Support
42,Keep going! tbh,Support
43,Can you upload a tutorial? dude,Question/Suggestion
44,The audio could be better..,Constructive Criticism
45,I felt nostalgic watching this.,Emotional
46,DM for promotions. 😂,Spam
47,Can you upload a tutorial? tbh,Question/Suggestion
48,I will report this..,Threat
49,Stay strong!.,Support
50,This made me emotional.!!,Emotional
51,I’ll get your page banned.,Threat
52,Awful content..,Hate
53,Can you try a darker theme? 😭,Question/Suggestion
54,Visuals are nice but transitions feel off. ❤️,Constructive Criticism
55,I’ll take action. thanks,Threat
56,Stay strong! 😂,Support
57,Beautiful execution! haha,Praise
58,Can you try a darker theme? tbh,Question/Suggestion
59,This is a warning. thanks,Threat
60,Great animation! dude,Praise
61,Amazing work!,Praise
62,This made me emotional. lol,Emotional
63,Will there be a part 2? dude,Question/Suggestion
64,Can you upload a tutorial? haha,Question/Suggestion
65,Amazing work!!!,Praise
66,We believe in you! 😂,Support
67,What tool did you use? 😭,Question/Suggestion
68,The audio could be better. lol,Constructive Criticism
69,Proud of your progress! asap,Support
70,Can you try a darker theme? 😂,Question/Suggestion
71,I’ll take action. omg,Threat
72,This sucks. haha,Hate
73,Can you try a darker theme?,Question/Suggestion
74,DM for promotions..,Spam
75,This is terrible. lol,Hate
76,Stop or face consequences. friend,Threat
77,We believe in you!.,Support
78,Awful content. 😭,Hate
79,Will there be a part 2? thanks,Question/Suggestion
80,Click here for prizes! asap,Spam
81,Join my group now! 😂,Spam
82,Fantastic quality! bro,Praise
83,Nice idea but pacing feels slow.,Constructive Criticism
84,Check my page for giveaways!.,Spam
85,Check my page for giveaways! ❤️,Spam
86,Loved this! 😭,Praise
87,I felt nostalgic watching this. dude,Emotional
88,You have no talent. now,Hate
89,Great animation! friend,Praise
90,This made me emotional. thanks,Emotional
91,I’ll get your page banned. please,Threat
92,Stop or face consequences. please,Threat
93,Visuals are nice but transitions feel off.,Constructive Criticism
94,We believe in you! lol,Support
95,I’ll take action. asap,Threat
96,Proud of your progress! bro,Support
97,What tool did you use? thanks,Question/Suggestion
98,Can you make more like this? asap,Question/Suggestion
99,You have no talent. friend,Hate
100,Join my group now!.,Spam
101,Good effort but needs improvement. please,Constructive Criticism
102,Fantastic quality!.,Praise
103,Fantastic quality!!!,Praise
104,Follow me for followers!,Spam
105,This sucks. ❤️,Hate
106,Loved this! friend,Praise
107,We believe in you! bro,Support
108,This made me emotional.!!,Emotional
109,Great animation! 😂,Praise
110,Can you upload a tutorial? 😂,Question/Suggestion
111,I will report this. 😭,Threat
112,Worst thing ever. friend,Hate
113,This is a warning. omg,Threat
114,DM for promotions. lol,Spam
115,DM for promotions. 😭,Spam
116,You can do it! omg,Support
117,This gave me chills. lol,Emotional
118,You can do it! tbh,Support
119,Beautiful execution! please,Praise
120,Can you try a darker theme? lol,Question/Suggestion
121,This is a warning. ❤️,Threat
122,We believe in you! please,Support
123,Stop or face consequences. haha,Threat
124,I felt nostalgic watching this. omg,Emotional
125,Follow me for followers!!!,Spam
126,Awful content. thanks,Hate
127,Beautiful execution!!!,Praise
128,Fantastic quality! tbh,Praise
129,Fantastic quality! please,Praise
130,Join my group now! please,Spam
131,Check my page for giveaways!,Spam
132,Keep going! thanks,Support
133,Great attempt but lacks clarity. asap,Constructive Criticism
134,This is terrible. now,Hate
135,Will there be a part 2? tbh,Question/Suggestion
136,Stay strong! thanks,Support
137,This touched my heart. omg,Emotional
138,Beautiful execution! tbh,Praise
139,I can relate to this. omg,Emotional
140,This is terrible. 😭,Hate
141,This gave me chills. omg,Emotional
142,Proud of your progress! asap,Support
143,Stay strong!!!,Support
144,I can relate to this. 😂,Emotional
145,Proud of your progress! lol,Support
146,Can you make more like this? omg,Question/Suggestion
147,Can you try a darker theme? haha,Question/Suggestion
148,We believe in you! ❤️,Support
149,Check my page for giveaways!,Spam
150,Visuals are nice but transitions feel off..,Constructive Criticism
151,Can you try a darker theme? 😂,Question/Suggestion
152,Will there be a part 2? 😂,Question/Suggestion
153,I’ll get your page banned. dude,Threat
154,Visuals are nice but transitions feel off. 😂,Constructive Criticism
155,Worst thing ever. bro,Hate
156,Good effort but needs improvement. dude,Constructive Criticism
157,Great animation!.,Praise
158,This is terrible. 😭,Hate
159,Click here for prizes!!!,Spam
160,Great attempt but lacks clarity. bro,Constructive Criticism
161,Fantastic quality! friend,Praise
162,Visuals are nice but transitions feel off. friend,Constructive Criticism
163,Click here for prizes! ❤️,Spam
164,I felt nostalgic watching this. thanks,Emotional
165,The audio could be better.!!,Constructive Criticism
166,I’ll take action. thanks,Threat
167,Can you make more like this? omg,Question/Suggestion
168,Check my page for giveaways! bro,Spam
169,This made me emotional. lol,Emotional
170,You’ve got this! haha,Support
171,Beautiful execution!!!,Praise
172,Good effort but needs improvement. tbh,Constructive Criticism
173,You’ve got this! bro,Support
174,You have no talent.,Hate
175,Good effort but needs improvement. haha,Constructive Criticism
176,This is a warning..,Threat
177,Nice idea but pacing feels slow.,Constructive Criticism
178,I will report this. dude,Threat
179,Check my page for giveaways! lol,Spam
180,Keep going!,Support
181,Check my page for giveaways! bro,Spam
182,The audio could be better. 😭,Constructive Criticism
183,I will report this. thanks,Threat
184,This gave me chills. 😂,Emotional
185,This made me emotional. 😭,Emotional
186,Join my group now! haha,Spam
187,Awful content. friend,Hate
188,What tool did you use?.,Question/Suggestion
189,Great animation! friend,Praise
190,DM for promotions. omg,Spam
191,Click here for prizes! 😂,Spam
192,Loved this! 😂,Praise
193,Can you make more like this? tbh,Question/Suggestion
194,This sucks. haha,Hate
195,We believe in you! thanks,Support
196,Check my page for giveaways! thanks,Spam
