id,comment,label,clean_comment
1,Good effort but needs improvement.!!,Constructive Criticism,good effort need improvement
2,DM for promotions. haha,Spam,dm promotion haha
3,Awful content. lol,Hate,awful content lol
4,Visuals are nice but transitions feel off. please,Constructive Criticism,visuals nice transition feel please
5,Click here for prizes! tbh,Spam,click prize tbh
6,Keep going! 😭,Support,keep going
7,Stay strong! thanks,Support,stay strong thanks
8,What tool did you use? dude,Question/Suggestion,tool use dude
9,This gave me chills. 😂,Emotional,gave chill
10,This touched my heart. 😭,Emotional,touched heart
11,This sucks. bro,Hate,suck bro
12,Keep going! haha,Support,keep going haha
13,Awful content. 😭,Hate,awful content
14,Loved this! now,Praise,loved
15,This is terrible. asap,Hate,terrible asap
16,This is terrible.,Hate,terrible
17,I will report this. dude,Threat,report dude
18,I’ll take action. now,Threat,ill take action
19,I felt nostalgic watching this. tbh,Emotional,felt nostalgic watching tbh
20,I’ll get your page banned. 😂,Threat,ill get page banned
21,You can do it! now,Support,
22,Follow me for followers! thanks,Spam,follow follower thanks
23,Good effort but needs improvement. asap,Constructive Criticism,good effort need improvement asap
24,Can you make more like this?.,Question/Suggestion,make like
25,Can you make more like this? 😭,Question/Suggestion,make like
26,Keep going!!!,Support,keep going
27,This touched my heart. dude,Emotional,touched heart dude
28,I can relate to this.!!,Emotional,relate
29,I’ll take action. 😭,Threat,ill take action
30,Worst thing ever. friend,Hate,worst thing ever friend
31,This sucks. bro,Hate,suck bro
32,This sucks. 😂,Hate,suck
33,Check my page for giveaways! 😭,Spam,check page giveaway
34,Good effort but needs improvement. bro,Constructive Criticism,good effort need improvement bro
35,This made me emotional. asap,Emotional,made emotional asap
36,Check my page for giveaways! now,Spam,check page giveaway
37,I’ll get your page banned. haha,Threat,ill get page banned haha
38,DM for promotions. ❤️,Spam,dm promotion
39,Can you try a darker theme?,Question/Suggestion,try darker theme
40,Will there be a part 2? 😭,Question/Suggestion,part
41,Keep going!,Support,keep going
42,Keep going! tbh,Support,keep going tbh
43,Can you upload a tutorial? dude,Question/Suggestion,upload tutorial dude
44,The audio could be better..,Constructive Criticism,audio could better
45,I felt nostalgic watching this.,Emotional,felt nostalgic watching
46,DM for promotions. 😂,Spam,dm promotion
47,Can you upload a tutorial? tbh,Question/Suggestion,upload tutorial tbh
48,I will report this..,Threat,report
49,Stay strong!.,Support,stay strong
50,This made me emotional.!!,Emotional,made emotional
51,I’ll get your page banned.,Threat,ill get page banned
52,Awful content..,Hate,awful content
53,Can you try a darker theme? 😭,Question/Suggestion,try darker theme
54,Visuals are nice but transitions feel off. ❤️,Constructive Criticism,visuals nice transition feel
55,I’ll take action. thanks,Threat,ill take action thanks
56,Stay strong! 😂,Support,stay strong
57,Beautiful execution! haha,Praise,beautiful execution haha
58,Can you try a darker theme? tbh,Question/Suggestion,try darker theme tbh
59,This is a warning. thanks,Threat,warning thanks
60,Great animation! dude,Praise,great animation dude
61,Amazing work!,Praise,amazing work
62,This made me emotional. lol,Emotional,made emotional lol
63,Will there be a part 2? dude,Question/Suggestion,part dude
64,Can you upload a tutorial? haha,Question/Suggestion,upload tutorial haha
65,Amazing work!!!,Praise,amazing work
66,We believe in you! 😂,Support,believe
67,What tool did you use? 😭,Question/Suggestion,tool use
68,The audio could be better. lol,Constructive Criticism,audio could better lol
69,Proud of your progress! asap,Support,proud progress asap
70,Can you try a darker theme? 😂,Question/Suggestion,try darker theme
71,I’ll take action. omg,Threat,ill take action omg
72,This sucks. haha,Hate,suck haha
73,Can you try a darker theme?,Question/Suggestion,try darker theme
74,DM for promotions..,Spam,dm promotion
75,This is terrible. lol,Hate,terrible lol
76,Stop or face consequences. friend,Threat,stop face consequence friend
77,We believe in you!.,Support,believe
78,Awful content. 😭,Hate,awful content
79,Will there be a part 2? thanks,Question/Suggestion,part thanks
80,Click here for prizes! asap,Spam,click prize asap
81,Join my group now! 😂,Spam,join group
82,Fantastic quality! bro,Praise,fantastic quality bro
83,Nice idea but pacing feels slow.,Constructive Criticism,nice idea pacing feel slow
84,Check my page for giveaways!.,Spam,check page giveaway
85,Check my page for giveaways! ❤️,Spam,check page giveaway
86,Loved this! 😭,Praise,loved
87,I felt nostalgic watching this. dude,Emotional,felt nostalgic watching dude
88,You have no talent. now,Hate,talent
89,Great animation! friend,Praise,great animation friend
90,This made me emotional. thanks,Emotional,made emotional thanks
91,I’ll get your page banned. please,Threat,ill get page banned please
92,Stop or face consequences. please,Threat,stop face consequence please
93,Visuals are nice but transitions feel off.,Constructive Criticism,visuals nice transition feel
94,We believe in you! lol,Support,believe lol
95,I’ll take action. asap,Threat,ill take action asap
96,Proud of your progress! bro,Support,proud progress bro
97,What tool did you use? thanks,Question/Suggestion,tool use thanks
98,Can you make more like this? asap,Question/Suggestion,make like asap
99,You have no talent. friend,Hate,talent friend
100,Join my group now!.,Spam,join group
101,Good effort but needs improvement. please,Constructive Criticism,good effort need improvement please
102,Fantastic quality!.,Praise,fantastic quality
103,Fantastic quality!!!,Praise,fantastic quality
104,Follow me for followers!,Spam,follow follower
105,This sucks. ❤️,Hate,suck
106,Loved this! friend,Praise,loved friend
107,We believe in you! bro,Support,believe bro
